"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200401 ~ 20200430"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 도로명주소"
"시도 : 전체"
"시군구 : 전체"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 홍천군 홍천읍 희망리","36-4","0036","0004","건우","70.3","66.17","202004","4","8,000","1","1985","원호마을1길 3"
"강원도 홍천군 홍천읍 희망리","350-1","0350","0001","그린빌라1차","74.16","34.74","202004","17","7,300","2","1992","홍천로2길 15"
"강원도 홍천군 홍천읍 희망리","351-2","0351","0002","풍림주택","80.08","63.18","202004","10","10,000","1","1992","홍천로2길 13"
"강원도 홍천군 홍천읍 희망리","77-2","0077","0002","햇살3차","70.23","70.13","202004","10","16,000","5","2013","석화로2길 18-16"
"강원도 화천군 화천읍 신읍리","578","0578","0000","동보","32.64","77.31","202004","23","2,720","1","1999","노신로 82-16"
"강원도 화천군 화천읍 중리","244-17","0244","0017","명성빌라","58.38","35.38","202004","17","12,800","4","2014","산수화로3길 25-8"
"강원도 횡성군 우천면 우항리","758","0758","0000","동산","64.215","56.46","202004","2","4,850","2","1996","우항4길 15"
"강원도 횡성군 우천면 우항리","759-4","0759","0004","신원하우스","70.653","53.27","202004","14","13,900","4","2018","우항4길 9"
"강원도 횡성군 우천면 우항리","759-4","0759","0004","신원하우스","63.085","47.57","202004","14","12,900","3","2018","우항4길 9"
"강원도 횡성군 우천면 우항리","759-4","0759","0004","신원하우스","70.653","53.27","202004","14","13,900","3","2018","우항4길 9"
